Company Name, Phone, Email
Analytical Solutions and Products,  0204924748, info@asap.nl
Anaspec Solutions,  0182304005, info@anaspec.nl
AngioDynamics Netherlands,  0207532949, amsterdam@angiodynamics.com
Ankersmid Process,  0548595969, info@ankersmid.com
Anritsu GmbH,  0498944230, sales.esdc@anritsu.com
Anton Paar BeneluxBA,  0320928083, info.be@anton-paar.com
Antonides CV,  0514564488, adm@antonides.com
AP Nederland,  0638155455, s.vendrig@apnederland.nl
APEM Benelux,  0322725050, info@apemswitches.be
Apotheekzorg,  0464113050, info@apotheekzorg.nl
Applied Instruments,  0118488499, info@aibv.eu
Applied Micro Electronics ''AME'',  0402646400, info@ame.nu
Applikon Biotechnology,  0102083555, sales@applikon-biotechnology.com
APT - Applied Process Technology,  0882782828, info@apt.nl
Aptful Electronics,  0412457474, info@aptful.nl
AQC,  0880045500, erwin.lemmens@aqcbv.com
AR Benelux,  0172423000, arbeneluxinfo@arworld.us
Arcobel Embedded Solutions,  0412660066, sales@arcobel.nl
Niet beschikbaar, NaN, NaN
Ardis Technologies,  0263622337, jan@ardistech.com
Arenal PCS BV,  015-3010071, info@arenal-pcs.com
Arjo Nederland B.V.,  0344640800, info.nl@arjohuntleigh.com
Arrow Central Europe,  0306391234, salesoffice.utrecht@spoerle.com
ArtTest,  0736395080, info@artec.nl
Ascom (Nederland) B.V.,  0302409100, marc.lamboo@ascom.com
Asecos,  0172506476, info@asecos.nl
Asperitas,  0620702680, info@aecorsis.com
AssemblyPartner,  0783033503, info@assemblypartner.nl
Atos Medical,  0795935000, info@atosmedical.com
ATS Applied Tech Systems,  0529438310, info.nl@ats-global.com
Autoclave (Suurmond),  0341262233, autoclave@suurmond.com
Avans Hogeschool MB,  0765258800, laboratorium@avansplus.nl
Avantes,  0313670170, info@avantes.com
AVE Added Value Electronics,  0786215900, info@ave-nl.com
Averna,  0263200100, info@averna.com
Avilo Stikstof en Persluchtsystemen B.V., NaN, info@avilo.nl
Aviso Diagnostics B.V.,  0786732544, mr@aviso-diagnostics.com
Avnet B.V.,  0765722500, info@avnet.com
AVT Industrial Components,  0402088088, sales@avtic.com
Azteco electronics,  0786299966, info@azteco.nl
B&R Industriële Automatisering,  0765715303, office.nl@br-automation.com
Badotherm Proces Instr.,  0786545800, info@badotherm.com
Bakker & Co.,  0786101666, info@bakker-co.com
Batenburg Industriele Elektronica,  0547271963, info.elektronica@batenburg.nl
Batenburg Mechatronica,  0102928787, info.mechatronica@batenburg.nl
Batterij Import Nederland,  0413212222, sales@batimp.nl
Baumer,  0320145746, sales.be@baumer.com
Baxter,  0302488911, john_roodenburg@baxter.com
BCON Instruments,  0166654008, info@bcon-instruments.nl
BD Kiestra,  0512510710, info@bd.com
Beckman Coulter Nederland,  0348462462, info@beckman.com
Becton Dickinson,  0205829416, customer_service_bdholland@europe.bd.com
Belimed,  0102861750, administratie@belimed.nl
Belimo Servomotoren,  0578576836, info@belimo.nl
Bellmann,  0224214939, ton@bellmann.nl
Bender Benelux B.V.,  0765878713, benderbenelux@benderbenelux.com
Benelux Scientific BV,  0344655556, info@benelux-scientific.nl
BENU Direct,  0302450202, info@benudirect.nl
Bepacom,  0572363368, wgkemper@bepacom.nl
Bernstein AG,  0491726932, m.slotboom@nl.bernstein.eu
Betec Controls,  0578577179, info@beteccontrols.nl
Betronic,  0203038500, marcom@betronic.nl
Beun- De Ronde,  0294280980, info@beunderonde.nl
Beveco Gebouwautomatisering B.V.,  0186659030, info@beveco.nl
BGB Analytik Benelux B.V., NaN, NaN
Bienfait,  0235530316, info@bienfait.nl
BIG EU / BACNet, NaN, info@big-eu.org
Binder Engineering,  0703074300, info@binder-engineering.nl
Binder GmbH,  0643581333, benelux@binder-world.com
Binder Nederland,  0235747046, info@binder-connector.nl
Bio-Connect,  0263264450, info@bio-connect.nl
Bio-Rad Laboratories,  0318540666, techsupport.holland@bio-rad.com
Biolegio,  0243586885, info@biolegio.com
BiologiQ,  0553684450, hans@biologiq.nl
Biomedic,  0365463000, info@biomedic.nl
BIOplastics / CYCLERtest,  0455338777, vavrinekc@biozymgroup.com
Biosolve,  0402071300, info@biosolve.nl
BioTRADING Benelux,  0297286848, info@biotrading.com
Biotronik Nederland,  0243555975, office.nl@biotronik.com
BIZERBA Nederland,  0534800980, info@bizerba.nl
Blanken Controls,  0555058300, info@blanken.nl
BMF Systemparts,  0408512170, info@bmf-systemparts.com
Boeren Medical,  0135784289, info@boerenmedical.com
Boom B.V.,  0522268700, boombv@boomlab.nl
Bosman Medische Hulpmiddelen,  0402308888, info@bosman.com
BR Controls Products,  0383556640, products@brcontrols.com
BRAINPACT,  0478538140, Ton.Peeters@brainpact.nl
Brecon Cleanroom Systems B.V.,  0646357346, geerdjansen@brecon.nl
Brinck Meettechniek,  0365479500, think@brinck.nl
Bronkhorst High-Tech BV,  0573458800, w.vantwel@bronkhorst.com
Bronkhorst Nederland,  0318551280, v.brokking@bronkhorst.nl
Bronson Incubator Services B.V., NaN, info@bronson.nl
Brooks Instrument,  0318549300, brookseu@brooksinstrument.com
Bruker Nederland,  0881122700, bruker@bruker.nl
Brunschwig Chemie,  0206113133, brunschwig@brunschwig.nl
BSN Medical,  0365389500, info@bsnmedical.com
BÜCHI Labortechnik GmbH,  0786849429, benelux@buchi.com
Niet beschikbaar, NaN, NaN
Bürkert-Contromatic,  0881267300, info@burkert.nl
Buveco,  0105217344, sales@buveco.com
BV Handelsvereeniging v/h J. & W. Wegman,  0302634000, wegman@wegman.nl
C.N. Rood,  0793600018, info@cnrood.com
Cablon Medical,  0334943964, info@cablon.nl
Canon Medical Systems Nederland,  0793689999, info.nl@eu.medical.canon
Capable,  0765416456, info@capable.nl
Cardinal Health Netherlands 502,  0322746346, ron.dewit@cardinalhealth.com
CareFusion Netherlands 238,  0302289711, rob.enthoven@carefusion.com
CareFusion Netherlands 310,  0302289711, gijsbert.vankampen@carefusion.com
Carltech,  0495588555, info@carltech.nl
Carya Automatisering,  0152682602, info@carya.nl
CaTeC,  0174272330, info@catec.nl
CC Nederland B.V.,  0798200020, info@ccned.nl
CDS Electronics,  0105925688, info@cds-electronics.nl
Celgene B.V., NaN, NaN
Celgene B.V.,  030 284 4500, info.nl@celgene.com
Cell Signaling Technology Europe, NaN, marketing@bioke.com
Celsius Benelux BV,  0610991978, helga.poot@celsiusbenelux.nl
CenS (Micro)Electronics,  0553558611, info@censelect.nl
Charles River Microbial Solutions,  0654376941, stefan.voost@crl.com
Chess Wise,  0235149149, info@chess.nl
Chroma ATE Europe,  0318648282, info@chromaeu.com
Cisco Systems International,  0800020079, pdijkstr@cisco.com
CleanAir by Baker, NaN, sales.nl@telstar.com
Cobar Europe,  0765445588, info@cobar.com
Cobra Medical BV, NaN, info@cobramedical.nl
CODAN BV, NaN, codan@codan.nl
Comdes Componenten,  0793625666, info@comdes.nl
Comecer Netherlands,  0513416964, info@comecer.com
Compose Network Connections,  0735531370, m.vossen@compose.nl
Comtest Engineering B.V.,  071-5417531, info@comtest.eu
Coneco Building Automation,  0786413877, contact@coneco.nl
Conrad Electronic Benelux B.V., NaN, matthijs.gaikema@conrad.nl
Convatec Nederland,  0348436900, info.convatec@convatec.com
Core|Vision,  0412660081, info@core-vision.nl
Corning,  0206596051, cceurnl@corning.com
Corpuls Nederland,  0181784000, info@corpuls.nl
CREO-CPS,  0854011723, erik.van.egeraat@creo.nl
Croonwolter&dros,  0334671511, maarten.verhoeven@croonwolterendros.nl
Crowcon Detection Instruments Ltd.,  0104211232, sales@crowcon.com
Cryo Solutions,  0736205450, info@cryosolutions.nl
CTS Nederland,  0344607917, info@ctsnederland.nl
D&D Mechatronics,  0485322102, info@d-d.nu
Da Vinci Laboratory Solutions,  010- 2581870, solutions@davinci-ls.com
Daalder Techniek, NaN, NaN
Danfoss,  0102492000, info@danfoss.nl
Danielson Europe / SCHURTER Electronics,  0523281200, marketing@schurter.nl
Dantuma Medische Speciaalzaken,  0800280040, info@dantuma.com
DARE!! Instruments,  0348430979, info@dare.nl
Niet beschikbaar, NaN, NaN
De Gidts & Feldman,  0365314014, salesdept@gidts-feldman.nl
De Groot Instruments,  0332300039, degroot@degrootinstruments.nl
Niet beschikbaar, NaN, NaN
Deerns Nederland,  0883740000, contact@deerns.nl
DEHN Nederland B.V., NaN, NaN
Niet beschikbaar, NaN, NaN
Delta Elektronika,  0111413656, sales@delta-elektronika.nl
DEMCON,  0881152000, info@demcon.nl
Demival,  0324755814, info@demival.be
DENIOS,  0172506466, info@denios.nl
Dewetron Benelux BV,  0765442544, info@dewetron.nl
Niet beschikbaar, NaN, NaN
Dijkstra-Vereenigde,  0320266100, laboratorium@dijkstra.net
Dirinco,  0735218880, info@dirinco.com
Dirksen Bedrijfsopleidingen B.V., NaN, NaN
DIS Sensors,  0356038181, info@dis-sensors.nl
Dispolab Nederland BV, NaN, info@dispolab.nl
Distrelec BV,  0302650150, sales.nl@distrelec.com
Distrilab,  0334947834, info@distrilab.nl
Dochteren IA,  0640238931, h.stemerdink@dochteren-ia.nl
Doofenshmirtz Evil Inc., NaN, casper@doofenshmirtz.nl
Dosco Sales & Engineering,  0356012734, info@dosco.nl
DPVT, NaN, info@dupa.nl
Dräger Nederland,  0793444666, medisch@draeger.com
Draka Kabel,  0888084780, drakakabel@draka.nl
DSP-systems,  0344846303, info@dspsystems.eu
Dual Inventive Holding,  0135339969, info@dualinventive.com
Duo-Med,  0306006030, info@duomed.nl
Duranmatic,  0786310599, info@duranmatic.nl
DVC Machinevision b.v.,  076-5440588, sales@machinevision.nl
DWA,  0881635300, dwa@dwa.nl
DWG Automation,  0107608600, info@dwgautomation.nl
Easics N.V., 032-1639561, ramses@easics.be
Easy Systems Benelux B.V., NaN, NaN
EBV Elektronik,  0346583010, rens.wagter@ebv.com
Echelon,  0334504070, sandra@echelon.co.uk
ECOMAL Nederland,  0203473177, jan.degoede@ecomal.com
EEMCCOIMEX,  0320295395, info@eemc.nl
ElderCare,  0793610081, e.meurs@eldercare.nl
Eldon N.V.,  0512580123, info.nl@eldon.com
Eldra bv,  0475566767, sales@eldra.nl
Elect,  0541662112, info@elect.nl
Electro Rent Europe N.V.,  0321574080, administration@electrorent-europe.com
Electro-Watt,  0356461090, verkoop@electro-watt.nl
Elincom electronics B.V.,  0102640270, info@elincom.nl
ELPRO Benelux,  0252830209, benelux@elpro.com
Elproma B.V,  0343518724, info@elproma.nl
Elscolab, NaN, main@elscolab.nl
Elster-Instromet,  0315338911, info@elster.com
EM-Technik,  0302412318, info@em-technik.nl
Embed Engineering,  0502103333, info@embed.nl
Emerson Automation Solutions,  0704136666, rob.van-der-zwan@emerson.com
Endress+Hauser,  0356958611, info@nl.endress.com
ENGIE Services West,  0756537000, infowestnederland@engie.com
Engineering Spirit BV,  0852733461, info@engineering-spirit.nl
ENMO Nederland,  0497380739, info@enmo.eu
Envico Environment-Control,  0715809308, info@envico.nl
ENVICONTROL - ENVITEC,  0418651158, info@envicontrol.com
EPLAN Software & Services,  0316591770, sales@eplan.nl
Eppendorf Nederland B.V.,  0243717600, info@eppendorf.nl
Equinoxia Industrial Automation,  0627399024, aksel.devries@gmail.com
ERBE Nederland,  0183509755, klantenservice@erbe.nl
Ergo-Care Vennik BV,  0534283090, info@ergocare.nl
Erix Techniek, NaN, info@erixtechniek.nl
Ernst Fisher Gmbh+co.kg,  0497441914, erfi@erfi.de
Esaote Europe B.V.,  043-3824650, benelux@esaote.nl
Niet beschikbaar, NaN, NaN
Euro HUBNER Benelux B.V., NaN, NaN
EURO-INDEX b.v.,  0102888000, verkoop@euro-index.nl
Eurocept Homecare B.V.,  0302804271, info@eurocept.nl
Eurocircuits N.V., NaN, euro@eurocircuits.com
Eurostat Benelux,  0886363555, info.nl@eurostatgroup.com
Eurotec,  0165551226, info@eurotec.nl
Eurotron Instruments Benelux,  0594696131, info@eurotron.nl
EWC Diagnostics,  0651575008, wiljanhoekstra@yahoo.com
Exalon Delft,  0152682554, info@exalondelft.nl
Exertis,  0788800700, info@exertis.nl
Expice,  0229284700, sales@expice.nl
Farnell Netherlands B.V.,  0302417312, benelux@farnell.com
FELTEN Wire & Cable Solutions,  0408200950, info@feltenwcs.nl
Festo B.V.,  0152518899, info.nl@festo.com
FFEW,  0416316779, antonybrouwers@mac.com
Fineline QPI B.V.,  0492590059, qpiinfo@qpigroup.com
Fisher Scientific,  0204877000, nl.info@thermofisher.com
Fix Trade,  0318544777, info@fixtrade.nl
FläktGroup Netherlands B.V.,  0102350606, petra.seegers@flaktgroup.com
Flatfield multi print International B.V.,  0344622556, sales@flatfield.com
Flen Health,  0762011350, info@flenhealth.com
Flexim Instruments Benelux,  0102492333, benelux@flexim.com
FlexLink Systems,  0235543100, info.nl@flexlink.com
Flohr Instruments,  0302890521, info@flohr-instruments.com
Flowserve Flow Control,  0105241050, info@flowserve.com
FMH Medical,  0318543223, info@fmhmedical.nl
FOA Nederland Glasvezeltechniek,  0492549189, info@foanederland.nl
Fomax Test & Connectivity,  0367601023, info@fomax-dc.nl
Forehand Network Components & Devices,  0102404121, info@forehand.nl
Formit BV, NaN, info@formit.nl
fortop Automation & Energy control,  0383372700, info@fortop.nl
Foss Benelux c/o Foss GmbH,  0334519033, fossben@foss.nl
Fresenius Kabi Nederland,  0306985270, info.nl@fresenius-kabi.com
Fresenius Medical Care Ned.,  0881223344, info@fmc.nl
Frontfolies.com, 3162277051, jaap.eising@frontfolies.com
Niet beschikbaar, NaN, NaN
FUQON B.V., NaN, NaN
Future Diagnostics Solutions,  0246452900, info@future-diagnostics.nl
Future Electronics,  0765444888, future.breda@futureelectronics.com
GBO Innovation makers,  0888886900, info@gbo.eu
GC biotech,  0172782170, info@gcbiotech.com
GDM B.V.,  0622668496, ingrid.evers@gdm-nl.com
GE Healthcare,  0332541222, info.nl@med.ge.com
GE Oil & Gas Netherlands B.V.,  0102640565, nl.sensing.sales@ge.com
Georg Fischer N.V., NaN, willem.kool@georgfischer.com
Gepro Electronics,  0342421333, info@gepro-electronics.nl
Getinge Netherlands,  0356255320, info@maquetnetherlands.nl
Niet beschikbaar, NaN, NaN
GHM meettechtniek,  035 5380540, occo.andriessen@ghm-nl.com
GHM meettechtniek, 3164601085, roland@match-makers.eu
Gilson International,  0703073600, sales-nl@gilson.com
GL Sciences B.V.,  0402549531, info@glsciences.eu
Global Electronics,  0535737200, info@global-electronics.nl
GMC-Instruments Nederland,  0348421155, info@gmc-instruments.nl
Goedegebuure Slaaptechniek,  0884300201, info@apneupagina.nl
GrafiMedics,  0365359390, info@gm.nl
Greiner Bio-One B.V.,  0172420900, info@nl.gbo.com
Gullimex,  0742657788, info@gullimex.com
GW-Instek - Good Will Instruments Euro B.V., 3163868982, erik.dejong@gw-instek.eu
H.F. Technology,  0756283717, info@hftechnology.nl
HACH, NaN, info-nl@hach.com
Hadro Techniek,  0182527190, info@hadro.nl
Haemonetics,  0765449477, info.nl@haemonetics.com
Ham Electronica B.V., NaN, NaN
Ham-Let Benelux,  0522237049, benelux@ham-let.com
Hamamatsu Photonics,  0365405384, info@hamamatsu.nl
Hamilton Bonaduz AG, NaN, NaN
Hanna Instruments,  0302896842, info@hannainst.nl
Harry Atteveld Regeltechniek, NaN, info@har-gouda.nl
Harstra Instruments,  0365222142, info@harstra-instr.nl
HARTECH meet- & testapparatuur,  0756144080, info@hartech.nl
Harting,  0736410404, nl@harting.com
Haskoning DHV Nederland,  0883842000, jan.bakker@rhdhv.com
HBK2000 Besturingstechniek,  0224542715, contact@hbk2000.nl
HC Groep,  0299689300, hcbarcol-air-info@hcgroep.com
HCS Building Automation,  0104580000, tjorem@adminbv.nl
hDMT, NaN, NaN
HE adviseurs,  0104116125, btvangent@he-adviseurs.nl
HEAD Electronics,  0714029154, info@head.nl
HEIDENHAIN NEDERLAND B.V.,  0318581800, info@heidenhain.nl
Heijmans Utiliteit meet en regeltechniek,  0402197303, jhellenthal@heijmans.nl
Heijneman Medical,  0881181000, info@heijnemanmedical.nl
HellermannTyton,  0334600692, info@hellermanntyton.nl
Hellma Benelux bvba, 3238773327, info.be@hellma.com
Helmut Fischer Meettechniek B.V.,  0402482255, info@helmutfischer.nl
Hermed Medrott Medical,  0181419390, info@medrott.nl
Hestel Electronics,  0306999100, info@hestel-electronics.nl
Hettich Benelux,  0882219900, info@hettichbenelux.com
Heynen,  0485550909, heynen@heynen.nl
Hi-Tech RF & Microwave Solutions,  030-3074420, information@hitechbv.nl
Hielkema Testequipment,  0413255243, info@hielkematest.nl
Hiflex Automatiseringstechniek,  0180466004, info@hiflex.nl
HIMA Benelux,  0765715151, hotline@hima.com
Hirschmann Multimedia,  0294462555, info@hirschmann.nl
Hitachi Medical Systems,  0182397777, netherlands@hitachi-medical-systems.nl
Hitma Instrumentatie B.V.,  0297514835, info@hitma-instrumentatie.nl
Hobré Instruments,  0299420871, info@hobre.com
Hoogland Medical,  0412453823, mail@hooglandmedical.nl
HPS Industrial,  0332774905, verkoop@hpsindustrial.nl
Huba Control AG,  0334330366, info.nl@hubacontrol.com
Hudson Cybertec B.V.,  070 2500717, info@hudsoncybertec.com
Huijzer Components,  0725611446, info@huijzer.com
Huisman Mediap,  0344612508, info@huismanmediap.nl
Human Workspace b.v., NaN, infoben@humanworkspace.nl
Hycult Biotech,  0413251335, info@hycultbiotech.com
I.B. Kracht,  0703876800, info@kracht.nl
I.C.Y.,  0514563424, r.e.nederhoed@icy.nl
ICT Automatisering Nederland B.V, 3188908200, erwin.pouwels@ict.nl
Ideetron,  0343769094, bart@ideetron.nl
Imbema Controls,  0235172400, info@imbema.nl
imc Test & Measurement B.V.,  0858769392, info@imc-benelux.com
Inacom Instruments,  0318521151, info@inacom.nl
INCAA Computers,  0555425001, sales@incaacomputers.com
INDES-IDS,  0345545535, info@indes.com
Inductive Systems Europe B.V.,  0134625910, info@ise.nl
INEPRO Metering,  0252744044, info@ineprometering.com
Infineon Technologies Holding,  0102176800, info@infineon.com
Infors Benelux, NaN, infors.bnl@infors-ht.com
Ingenieursburo Gommer,  0703868286, info@gommer.nl
INstruchemie,  0596634831, info@instruchemie.nl
Instrument Solutions Ben.,  0884678786, info@instrument-solutions.com
Niet beschikbaar, NaN, NaN
Intemo Special Products,  0492547447, janus@intemo.com
Intercomponents,  0343517363, info@intercomponents.nl
Interscience,  0765411800, info@interscience.nl
Niet beschikbaar, NaN, NaN
Intersurgical Nederland,  0413243860, info@intersurgical.nl
Intertec Instrumentation,  0315251000, nederland@intertec.info
INTOS interior solutions,  023-5319039, luuk.vanwilligenburg@intos.nl
Intronics,  0342407080, sales@intronics.nl
INVEN Technology Benelux,  0765812288, info@inven.nl
Inventech Benelux BV,  0162460404, heidenreich@inventech.nl
IPPN Measurements & Controls VOF,  0314667748, info@ippn.nl
Isatronick,  0499871571, info@isatronick.nl
Isogen Life Science,  0306880771, marty.denneman@isogen-lifescience.com
Istec International,  0252433400, mail@istec.nl
Iszgro Diodes,  0152600975, t.zoumpoulidis@iszgro.com
IT Bases,  0852107161, info@itbases.nl
ITK Diagnostics,  0297568893, info@itk.nl
IXON B.V.,  085-7441105, info@ixon.cloud
J. Verholt,  0315695495, info@verholt.nl
J.H. Ritmeester,  0302316422, info@ritmeester.nl
Jasco Benelux,  0306880355, info@jasco.nl
Niet beschikbaar, NaN, NaN
JEOL (Europe),  0252623500, sales@jeolbenelux.com
Johnson Controls Building Efficiency,  0183667600, willem.dejongh@jci.com
JSB Joint Analytical Systems Benelux,  0402514753, info@go-jsb.com
JTAG Technologies,  0402950870, info@jtag.com
JULABO Nederland B.V., NaN, NaN
JUMO Meet- en Regeltechniek B.V.,  0294491491, saskia.vanderlaan@jumo.net
Kago Electronics,  0728795497, info@kago.nl
Niet beschikbaar, NaN, NaN
Kebomed,  0553684455, info@welmed.nl
KERO Quality,  0528343642, info@kero.nl
Keysight Technologies Netherlands B.V.,  020 311 2000, contactcenter_benelux@keysight.com
Kistler,  0852104420, info.bnl@kistler.com
KITT Engineering,  0534315700, info@kitt.nl
KIWA Nederland,  0704144400, info@kiwa.nl
Klay Instruments,  0521591550, info@klay.nl
Klinerva,  0355288377, info@eurocept.nl
KNX,  0652348746, info@knx.nl
Kobold Instrumentatie,  0263844848, info.nl@kobold.com
Koning & Hartman,  0205877600, info@koningenhartman.com
Koninklijke van Twist B.V., 3178632660, rlagerberg@kvt.nl
KORE Wireless /, NaN, jvandenhoven@korewireless.com
Köttermann Laboratoriuminrichting B.V.,  076-2030044, systemlabor.nl@kottermann.com
Kreisler Import,  0703852104, components@kreisler.nl
KROHNE Nederland,  0786306200, infonl@krohne.com
Kropman Installatietechniek,  0883344000, info@kropman.nl
KRSS Ltd.,  0440161241, sales@krssltd.com
KSB Nederland,  0204079800, rob.van.roijen@ksb.com
Kuijpers,  0492578600, info@kuijpers.com
KVMS,  0321472006, info@kvms.be
L.E.D. Techno B.V.,  085-8880601, info@ledtechno.nl
LA Biosystems B.V.,  0416675300, info@la-biosystems.com
Lab Services,  0765310420, info@lab-services.nl
Lab-QAcademy,  0654678058, info@lab-qacademy.com
Labinco,  0765417582, info@labinco-bv.com
LabMakelaar Benelux B.V.,  0180321820, info@labmakelaar.com
Labolutions,  0713322370, info@labolutions.com
Laboz,  0885221000, info@laboz.nl
Niet beschikbaar, NaN, NaN
Labvise, NaN, info@labvise.com
LabWare Limited,  0495451948, info@labware.com
Laméris Ootech,  0306008711, ootech@ootech.nl
Lasent B.V.,  0299405290, info@lasent.nl
Laser 2000 Benelux,  0297266191, info@laser2000.nl
Laservision Instruments,  0529428000, info@laservision.nl
Laumans Techniek,  0495521067, sales@laumans.com
Layers / Dekimo,  0321644141, info@layers.be
Leertouwer,  0342425151, h.j.hazeleger@leertouwer.nl
Legrand Nederland,  0411653111, info@legrandnederland.nl
Leica Microsystems,  0704132100, nl.sales@leica-microsystems.com
LEMO Connectors Benelux,  0251257820, info@lemo.nl
Niet beschikbaar, NaN, NaN
Liad Electronics Breda B.V., NaN, NaN
Linde Gas Cryoservice,  0402825825, info.lg.nl@linde.com
Linde Healthcare Benelux,  088-3276276, info.homecare.nl@linde.com
LivaNova Nederland N.V.,  0203113211, info.nl@livanova.com
Livingston (Tems),  0318588688, sales@easy2rent.nl
Lode Holding,  0505712811, ask@lode.nl
Logic Technology B.V.,  0773078438, info@logic.nl
Lohmann & Rauscher,  0365463020, info@lrmed.com
LonMark International,  0140893852, henny@lonmark.org
Lopital,  0135239300, info@lopital.nl
Löwenstein Medical Netherlands,  0342419582, info@hul-nl.nl
LPS bv, NaN, info@lps.nl
Lumberg Nederland,  0105216255, info@lumberg.nl
Lutron EA Ltd, NaN, jvanhoutum@lutron.com
Maastricht Instruments,  0433881371, email@maastrichtinstruments.com
Magnetrol International N.V.,  0325245111, info@magnetrol.be
Magtivio B.V., NaN, NaN
Major Electronics,  0528234422, info@major-el.nl
Malvern PANalytical B.V.,  0402766060, info@malvernpanalytical.com
Marktechnical,  0162314285, info@marktechnical.nl
Martin Nederland,  0355234538, karen.verwaal@klsmartin.com
MASER Engineering,  0534802680, info@maser.nl
Matas Electronics B.V.,  0499335050, G.Bergman@matas.nl
Match Makers, NaN, NaN
Mathot Medische Speciaalzaken,  0235319043, info@mathot.nl
MCS - Mixe Communication Solutions BV,  0104375555, john@mcs-nl.com
Medcaptain Europe B.V.,  024-2063000, jurgen.reimer@medcaptain.eu
MedCaT BV,  0591301033, info@medcat.nl
Mediatronix,  0235625449, info@mediatronix.com
Medica Europe B.V., NaN, info@medica-europe.nl
Medicare Uitgeest,  0251316358, info@medicare-uitgeest.nl
Medidis,  0320267600, info@medidis.nl
Mediq Nederland,  0186634400, j.moerkerken@medeco.nl
MediReva,  0434572343, p.ummels@medireva.nl
Medisize BV,  0887744555, info@medisize.com
Niet beschikbaar, NaN, NaN
Melles Griot,  0316333041, info.holland@mellesgriot.com
Mentor Graphics Netherlands,  0302418500, frank_schoonens@mentor.com
Mermaid Medical B.V.,  0314632070, info@mermaidmedical.nl
Merpa,  0105248703, info@merpa.nl
Metafas,  0493695578, info@metafas.nl
Metatronics,  0407870910, cvdboogaard@metatronics.nl
Metrohm Nederland,  085-3036460, info@metrohm.nl
Mettler-Toledo,  0344638363, contact.nl@mt.com
METZ CONNECT GmbH,  0765083410, info@metz-connect.com
Meuleman Electronics B.V.,  0499796512, info@meuleman.io
MG Products,  0485382133, info@mg-products.com
Michell Instruments Benelux BV,  0162680471, nl.sales@michell.com
Micro-Key,  0594503020, sales@microkey.nl
Micronevel,  0725647097, info@micronevel.nl
Micropower - HPR Techniek,  0765205310, info@micropower.nl
Microtron,  0162447272, info@microtron.nl
Miele Nederland,  0347378911, professional@miele.nl
Mindray Medical Netherlands,  0332544911, info.nl@mindray.com
